id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,4,5,7,2,7,2,7,4,3,6
1,2,5,2,2,4,4,3,3,3,6
2,3,2,5,3,3,1,1,7,2,3
3,4,1,6,6,4,6,1,7,6,5
4,4,5,4,4,6,1,3,6,1,5
5,3,3,4,5,3,1,2,4,7,3
6,6,2,4,6,1,4,7,2,7,7
7,4,2,5,4,3,3,5,5,6,1
8,2,6,3,7,6,3,1,6,3,4
9,1,2,2,7,4,1,1,4,3,6
10,3,3,1,5,6,3,2,5,7,3
11,6,2,4,5,3,6,1,1,3,4
12,6,2,1,2,1,3,4,7,7,4
13,3,4,2,7,6,5,6,4,3,4
14,5,2,2,4,4,4,6,5,2,4
15,4,6,6,3,3,4,2,2,6,7
16,6,5,2,6,7,4,4,1,5,1
17,6,5,6,3,5,1,6,4,1,3
18,2,2,5,2,3,6,6,6,2,3
19,4,4,2,7,2,5,5,4,4,1
20,3,6,7,3,6,5,2,5,4,3
21,2,4,6,3,6,7,5,1,5,1
22,2,2,5,4,6,6,2,6,6,5
23,1,7,2,7,7,1,2,3,6,2
24,7,4,7,4,7,7,4,7,2,1
25,6,1,1,6,6,3,2,2,2,5
26,2,4,2,6,6,5,3,3,4,3
27,6,7,4,7,7,7,5,3,6,5
28,6,6,2,1,6,4,7,4,3,2
29,1,6,7,3,6,1,4,6,6,6
30,5,2,4,4,1,3,3,3,5,5
31,7,4,6,5,5,3,2,3,2,2
32,7,1,6,7,2,6,5,6,6,4
