id,p0,p1,p2,p3,p4
0,5,5,6,7,4
1,2,6,3,5,3
2,2,6,5,6,4
3,2,1,3,6,4
4,5,6,6,2,2
5,5,2,6,2,6
6,1,5,6,1,7
7,7,4,5,6,6
8,7,6,5,7,1
9,5,1,7,4,1
10,1,5,3,6,2
11,4,6,7,1,5
12,5,2,6,2,6
13,7,5,6,2,3
14,1,4,5,3,2
15,1,4,5,1,1
16,2,6,1,4,5
17,6,7,5,2,1
18,2,3,2,1,6
19,2,3,3,4,2
20,3,5,7,1,7
21,4,5,5,3,4
22,7,7,5,7,1
23,3,1,2,1,6
24,3,2,2,1,2
25,1,1,2,5,3
26,4,1,6,4,1
27,4,7,4,6,2
28,1,3,2,7,4
29,3,6,7,2,6
30,3,3,1,2,5
31,6,4,5,3,7
32,7,1,1,2,5
33,3,2,6,3,4
34,5,2,1,7,1
35,1,6,7,1,6
36,4,2,1,5,6
37,1,2,6,3,2
38,1,1,4,3,4
39,1,7,1,6,3
40,2,7,6,4,5
41,6,4,1,1,5
42,5,2,1,5,4
43,7,1,3,5,5
