id,p0,p1,p2,p3,p4
0,7,5,4,5,2
1,1,2,6,3,3
2,5,5,5,5,5
3,4,5,5,1,1
4,2,4,6,3,4
5,3,4,3,2,5
6,6,6,4,7,4
7,7,4,5,2,2
8,2,4,1,4,6
9,6,6,6,2,2
10,2,5,5,6,7
11,2,2,6,3,4
12,7,2,2,7,7
13,4,4,2,7,6
14,7,7,4,4,4
15,1,5,2,6,4
16,1,4,5,1,2
17,1,7,1,6,7
18,1,6,7,2,4
19,3,1,4,1,7
20,5,3,5,5,6
21,7,4,6,5,2
22,2,6,5,5,6
23,3,5,4,2,4
24,6,2,6,6,2
25,4,3,3,2,6
26,6,7,5,3,2
27,5,5,2,1,4
28,5,4,2,1,3
29,2,1,6,4,7
30,4,3,7,3,6
31,3,3,7,5,4
32,5,6,4,5,4
33,3,7,3,3,3
34,1,2,3,3,2
35,7,5,6,6,2
36,6,3,3,7,5
37,6,5,5,3,2
38,7,7,2,2,5
39,7,7,3,4,2
40,5,6,5,2,2
