id0,id1
0,0
0,1
0,2
0,3
0,4
1,1
1,2
1,3
1,4
2,2
2,3
2,4
3,3
3,4
4,4
5,5
5,6
6,6
7,7
7,8
8,8
9,9
9,10
9,11
9,12
9,13
9,14
9,15
9,16
10,10
10,11
10,12
10,13
10,14
10,15
10,16
11,11
11,12
11,13
11,14
11,15
11,16
12,12
12,13
12,14
12,15
12,16
13,13
13,14
13,15
13,16
14,14
14,15
14,16
15,15
15,16
16,16
17,17
17,18
17,19
17,20
17,21
17,22
17,23
17,24
18,18
18,19
18,20
18,21
18,22
18,23
18,24
19,19
19,20
19,21
19,22
19,23
19,24
20,20
20,21
20,22
20,23
20,24
21,21
21,22
21,23
21,24
22,22
22,23
22,24
23,23
23,24
24,24
25,25
25,26
25,27
25,28
25,29
25,30
25,31
25,32
25,33
25,34
25,35
25,36
25,37
25,38
25,39
25,40
26,26
26,27
26,28
26,29
26,30
26,31
26,32
26,33
26,34
26,35
26,36
26,37
26,38
26,39
26,40
27,27
27,28
27,29
27,30
27,31
27,32
27,33
27,34
27,35
27,36
27,37
27,38
27,39
27,40
28,28
28,29
28,30
28,31
28,32
28,33
28,34
28,35
28,36
28,37
28,38
28,39
28,40
29,29
29,30
29,31
29,32
29,33
29,34
29,35
29,36
29,37
29,38
29,39
29,40
30,30
30,31
30,32
30,33
30,34
30,35
30,36
30,37
30,38
30,39
30,40
31,31
31,32
31,33
31,34
31,35
31,36
31,37
31,38
31,39
31,40
32,32
32,33
32,34
32,35
32,36
32,37
32,38
32,39
32,40
33,33
33,34
33,35
33,36
33,37
33,38
33,39
33,40
34,34
34,35
34,36
34,37
34,38
34,39
34,40
35,35
35,36
35,37
35,38
35,39
35,40
36,36
36,37
36,38
36,39
36,40
37,37
37,38
37,39
37,40
38,38
38,39
38,40
39,39
39,40
40,40
41,41
42,42
42,43
42,44
42,45
42,46
42,47
42,48
43,43
43,44
43,45
43,46
43,47
43,48
44,44
44,45
44,46
44,47
44,48
45,45
45,46
45,47
45,48
46,46
46,47
46,48
47,47
47,48
48,48
