id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,6,3,5,7,4,5,6,6,5,1
1,5,4,1,4,5,4,1,6,4,6
2,5,4,6,3,4,1,7,7,1,3
3,2,5,2,7,1,7,2,7,1,4
4,2,2,3,3,2,5,1,7,7,7
5,6,5,1,7,3,5,5,5,5,7
6,4,2,6,7,1,2,2,3,5,7
7,4,7,7,5,4,4,3,1,7,4
8,7,1,7,5,7,1,5,3,2,1
9,6,5,4,2,2,6,4,7,6,6
10,3,6,1,6,2,2,6,1,3,1
11,1,2,5,1,7,1,3,5,3,1
12,4,6,7,2,4,1,3,5,5,3
13,4,5,4,1,2,1,2,1,3,3
14,7,6,5,6,4,5,6,7,2,1
15,6,6,3,7,4,4,1,2,1,7
16,3,3,4,3,1,7,1,1,5,3
17,6,4,1,1,2,5,6,7,6,6
18,4,6,7,5,7,7,1,7,5,2
19,7,6,5,3,4,6,3,2,2,2
20,5,4,1,4,2,7,5,4,5,3
21,2,5,3,1,4,3,4,7,6,1
22,1,3,4,5,7,1,3,7,6,7
23,3,7,4,2,5,7,1,6,7,3
24,2,7,4,3,1,5,6,1,6,2
25,4,3,2,6,6,4,3,7,4,4
26,5,5,3,2,3,1,3,5,2,3
27,5,4,5,2,2,6,5,4,1,5
28,4,5,6,4,3,3,6,6,1,7
