id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,5,1,1,6,1,2,5,4,4,2
1,6,1,6,1,5,7,1,6,5,7
2,2,2,2,1,2,4,2,5,1,1
3,2,5,3,7,6,3,5,7,6,7
4,3,1,5,7,2,3,7,3,3,4
5,7,3,4,5,2,2,2,5,2,7
6,1,5,2,3,3,7,1,1,7,5
7,3,1,6,7,7,2,6,5,6,7
8,3,5,6,3,1,1,5,3,7,1
9,7,6,7,7,1,7,1,3,1,6
10,6,3,3,5,2,4,4,3,3,4
11,6,6,2,7,1,6,5,6,4,7
12,2,6,2,5,3,1,3,4,3,5
13,6,5,4,6,6,2,5,7,4,1
14,1,2,2,2,4,5,4,2,7,1
15,3,5,5,7,5,6,4,5,2,1
16,4,3,7,7,3,4,5,1,4,3
17,3,7,5,7,3,7,7,7,5,2
18,2,2,1,5,7,2,7,7,3,7
19,2,2,7,3,6,4,5,1,6,5
20,6,7,5,3,3,1,2,7,7,4
21,1,2,6,3,3,6,3,3,6,6
22,1,3,6,1,2,3,2,6,7,6
23,1,1,7,2,3,6,6,5,7,1
