id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,1,2,4,6,5,3,1,3,6,1
1,7,1,2,5,1,1,3,7,4,5
2,1,3,7,1,1,6,2,2,6,1
3,3,6,5,4,4,7,6,1,7,3
4,3,5,6,2,1,4,1,1,3,6
5,4,3,3,5,7,3,2,1,5,1
6,1,6,5,3,7,7,4,1,3,3
7,5,7,3,4,7,3,4,4,2,2
8,4,3,4,7,5,2,5,2,4,6
9,6,7,1,5,4,7,2,4,2,6
10,5,3,2,7,2,1,2,1,3,6
11,2,1,6,5,6,4,3,5,1,1
12,2,6,4,5,1,3,4,7,3,7
13,5,2,5,6,4,2,6,3,6,1
14,3,1,2,1,2,7,3,1,5,4
15,1,2,4,3,6,1,6,4,7,6
16,7,2,1,3,5,3,1,4,2,5
17,1,3,5,7,7,7,3,5,7,1
18,2,5,7,5,3,6,3,6,2,3
19,5,2,4,5,6,6,5,5,6,7
20,5,5,2,7,4,6,1,7,7,2
21,2,5,4,3,2,7,3,5,2,3
22,2,2,1,1,5,2,7,4,4,2
23,6,2,2,6,5,1,6,4,6,7
24,2,6,7,5,4,5,7,6,4,5
25,3,7,5,1,6,7,2,2,3,5
26,4,7,3,1,7,5,3,7,6,6
27,6,5,1,1,6,5,1,5,1,6
28,4,4,7,7,4,2,5,7,2,3
29,7,5,3,1,4,1,3,7,6,6
30,5,3,2,4,1,3,1,2,2,6
31,5,6,4,6,1,4,2,1,3,7
32,5,7,6,7,7,6,3,2,4,6
33,7,6,6,3,3,6,2,2,2,4
34,5,7,3,3,2,7,2,5,3,6
35,5,4,7,7,5,6,7,6,6,4
36,7,2,4,6,1,4,1,4,4,6
37,1,7,4,1,6,4,1,6,7,2
38,7,4,6,4,5,4,1,1,4,5
39,1,3,3,4,2,5,6,2,4,3
40,7,2,3,4,6,3,3,4,2,5
41,4,5,4,4,6,4,6,7,2,3
42,5,5,3,1,6,4,1,4,5,7
43,1,5,5,5,3,4,1,5,4,7
44,6,4,2,5,7,2,4,2,6,4
45,2,2,7,6,7,6,2,2,3,5
