id0,id1
0,0
0,1
1,1
2,2
2,3
2,4
2,5
2,6
3,3
3,4
3,5
3,6
4,4
4,5
4,6
5,5
5,6
6,6
7,7
7,8
7,9
7,10
7,11
7,12
7,13
7,14
7,15
7,16
8,8
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
9,9
9,10
9,11
9,12
9,13
9,14
9,15
9,16
10,10
10,11
10,12
10,13
10,14
10,15
10,16
11,11
11,12
11,13
11,14
11,15
11,16
12,12
12,13
12,14
12,15
12,16
13,13
13,14
13,15
13,16
14,14
14,15
14,16
15,15
15,16
16,16
17,17
17,18
17,19
18,18
18,19
19,19
20,20
20,21
20,22
20,23
20,24
21,21
21,22
21,23
21,24
22,22
22,23
22,24
23,23
23,24
24,24
25,25
26,26
26,27
26,28
26,29
26,30
27,27
27,28
27,29
27,30
28,28
28,29
28,30
29,29
29,30
30,30
31,31
31,32
31,33
31,34
32,32
32,33
32,34
33,33
33,34
34,34
