id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,4,2,2,7,1,3,4,7,3,4
1,7,1,4,6,2,5,4,6,6,1
2,2,2,3,2,4,2,4,7,4,6
3,7,5,3,6,4,6,1,5,1,2
4,3,7,2,2,1,2,3,7,2,7
5,2,3,7,6,6,6,2,5,6,6
6,3,4,7,7,6,2,3,4,7,7
7,7,2,4,6,2,1,4,1,5,7
8,5,4,7,2,2,7,6,3,1,1
9,2,1,6,7,2,7,4,6,7,7
10,4,4,2,3,6,3,1,5,3,2
11,2,1,5,3,4,5,1,5,1,1
12,7,7,4,7,4,3,7,3,1,6
13,4,5,2,3,1,5,7,6,1,5
14,7,4,7,7,7,2,3,5,1,5
15,7,1,3,3,4,7,4,1,4,1
16,4,2,4,7,3,1,2,4,3,2
17,5,2,1,2,7,3,6,7,6,5
18,6,2,4,2,3,4,4,6,2,5
19,2,4,5,6,1,4,3,5,1,7
20,6,3,4,6,4,7,5,7,6,6
21,2,1,7,1,1,7,7,5,2,1
22,2,6,2,4,4,6,5,7,3,3
23,5,4,4,6,7,3,7,6,5,3
24,2,4,5,1,7,2,3,5,5,5
25,3,1,6,1,2,5,1,4,5,1
26,4,4,6,5,7,5,6,7,1,1
27,2,4,5,3,5,3,2,4,4,3
28,4,3,3,6,4,7,3,5,7,7
29,4,4,3,5,6,6,3,5,6,6
30,5,6,6,7,6,7,4,7,4,6
31,6,4,2,1,7,3,4,4,3,5
32,4,5,5,2,2,4,3,4,3,5
33,4,1,4,1,2,7,1,4,2,7
34,5,2,4,7,5,1,5,6,3,7
35,2,2,1,4,2,6,3,2,6,7
36,5,5,2,3,7,2,1,1,6,6
37,3,6,2,5,4,3,7,4,6,6
38,4,5,5,6,4,5,4,6,3,3
39,5,5,6,6,5,6,4,5,3,5
40,7,6,1,5,3,3,5,6,2,1
41,2,2,4,3,1,7,1,1,3,2
42,1,5,5,1,6,4,3,4,1,6
43,6,6,6,1,5,4,2,7,2,5
44,4,2,6,1,5,7,7,7,1,5
45,1,6,6,1,5,1,7,6,1,6
46,2,4,6,3,3,3,4,6,4,4
47,4,4,5,2,2,3,1,3,6,7
