id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,5,7,2,7,5,5,6,2,2,4
1,5,5,6,7,3,7,4,4,5,1
2,5,1,7,3,7,5,2,5,6,4
3,3,2,3,3,4,6,3,7,5,3
4,6,3,4,5,1,2,3,3,6,7
5,2,1,7,7,1,1,4,2,3,1
6,3,3,2,4,7,6,5,2,5,4
7,5,2,1,1,3,5,4,2,6,2
8,2,3,5,5,4,6,3,6,5,2
9,5,2,1,6,3,2,7,3,1,5
10,3,5,7,4,4,2,7,1,4,5
11,6,7,5,2,5,7,7,4,1,2
12,1,3,7,2,6,1,7,1,5,2
13,7,5,2,4,1,5,3,2,6,2
14,2,1,1,2,1,1,4,2,3,2
15,1,6,7,3,1,1,7,5,5,1
16,7,2,3,5,1,2,4,6,4,5
17,2,3,6,4,6,7,4,5,6,3
18,1,5,4,4,5,5,7,5,3,5
19,5,4,3,4,3,7,4,3,2,5
20,4,7,2,1,5,5,3,3,2,5
21,4,3,3,1,5,4,2,7,4,4
22,6,3,6,4,4,6,2,2,7,4
23,4,6,5,2,6,5,6,7,5,1
24,4,3,7,3,3,2,5,5,4,3
25,2,5,1,3,4,3,1,1,1,4
26,7,6,3,6,2,3,2,2,7,2
27,1,6,7,3,5,6,7,1,7,4
28,2,6,2,4,6,5,6,4,3,6
29,5,5,4,5,3,2,1,4,7,6
30,6,6,2,3,5,7,1,2,4,2
31,1,7,4,7,7,2,4,1,4,7
32,2,6,1,4,2,2,7,6,2,7
33,1,1,2,5,2,3,4,7,1,3
34,1,5,3,6,6,2,6,3,4,1
35,2,4,5,7,7,6,2,3,1,2
36,7,1,6,4,3,1,3,4,5,6
37,1,2,7,3,6,2,6,4,4,4
