id,p0,p1,p2,p3,p4
0,4,1,2,4,7
1,2,6,7,7,4
2,1,3,7,2,6
3,7,6,3,4,4
4,2,5,4,2,5
5,3,3,3,7,1
6,6,7,3,4,6
7,2,2,7,6,1
8,4,6,4,5,3
9,2,7,4,5,7
10,7,2,1,1,6
11,1,5,5,5,1
12,3,6,4,2,5
13,2,2,3,4,6
14,4,7,4,6,1
15,6,3,3,6,3
16,3,6,4,3,4
17,4,4,2,3,3
18,6,2,3,2,7
19,5,7,2,6,3
20,1,1,6,5,2
21,1,6,2,6,6
22,1,1,5,4,1
23,5,3,1,2,4
24,3,4,6,1,4
25,7,2,5,4,4
26,2,1,4,4,7
27,2,7,7,5,3
28,4,6,2,3,4
29,4,6,7,2,7
30,2,2,2,6,6
31,7,5,2,1,5
32,6,6,5,7,6
33,3,5,5,4,7
34,4,3,1,1,3
35,1,6,5,2,7
36,5,4,2,1,3
37,7,1,3,6,6
38,1,6,1,7,4
39,7,4,2,7,1
40,6,3,4,3,4
41,3,5,2,4,5
42,5,7,7,2,2
43,3,1,2,4,6
44,6,3,4,7,3
45,4,2,5,6,6
