id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,5,7,5,5,3,4,4,5,1,6
1,2,3,3,3,6,6,6,3,4,2
2,2,5,7,1,5,2,7,3,3,5
3,2,7,7,7,4,1,3,2,7,7
4,5,1,6,1,5,7,4,4,7,4
5,7,2,5,2,5,7,6,2,6,4
6,1,6,2,4,4,5,1,6,4,7
7,3,6,1,2,1,4,1,5,5,3
8,4,3,2,6,1,2,1,6,1,5
9,5,1,3,7,1,4,3,2,4,4
10,5,3,5,4,2,5,1,1,1,2
11,7,3,3,1,3,1,5,3,6,5
12,3,3,2,6,6,4,4,7,1,1
13,7,2,7,1,2,4,3,2,6,5
14,5,1,5,4,6,4,6,7,1,5
15,5,5,2,3,7,2,5,5,5,3
16,2,2,3,7,1,3,7,5,1,1
17,3,7,2,4,6,7,5,4,7,7
18,2,6,7,3,5,4,7,7,4,5
19,6,3,7,4,6,1,1,3,4,7
20,7,4,5,3,3,6,2,7,3,1
21,5,3,7,5,4,3,3,6,1,3
22,4,1,5,2,4,4,5,6,5,5
23,7,7,4,5,3,1,2,3,1,5
24,7,3,4,3,4,3,1,1,2,7
25,6,4,1,6,2,6,2,7,1,6
26,6,4,4,1,2,2,6,5,7,6
27,3,6,3,3,4,1,5,5,3,3
28,3,2,7,2,6,4,4,7,5,2
29,3,4,5,7,2,6,6,6,1,6
30,3,5,4,2,6,7,7,4,6,2
31,3,2,6,7,5,5,3,1,6,2
32,4,6,2,4,6,3,4,6,3,1
33,1,6,6,6,6,5,7,5,4,6
34,2,2,5,5,5,7,5,1,4,2
35,5,6,6,1,2,2,5,2,3,7
36,2,3,3,5,3,7,5,7,4,2
37,1,2,6,5,4,6,2,2,3,5
38,5,2,4,6,1,2,5,3,3,5
39,4,7,5,2,7,1,3,1,7,4
40,5,2,7,3,2,5,2,5,7,1
41,7,4,1,2,3,1,6,6,1,2
42,7,2,6,5,7,3,6,1,6,5
43,3,4,7,2,2,1,6,6,7,1
44,7,1,4,4,4,2,7,6,1,3
