id,p0,p1,p2,p3,p4
0,6,5,3,7,4
1,3,3,2,3,3
2,4,3,7,1,5
3,6,7,3,3,7
4,7,2,6,7,7
5,1,1,5,2,3
6,4,7,5,4,6
7,6,7,1,4,6
8,5,7,4,2,2
9,4,1,3,3,5
10,6,7,4,6,7
11,2,6,7,7,6
12,4,2,3,3,4
13,1,2,4,4,5
14,2,2,4,2,7
15,6,7,2,3,1
16,4,3,3,3,2
17,6,4,3,7,5
18,3,7,7,1,4
19,2,1,7,4,3
20,1,2,5,6,3
21,6,5,4,2,3
22,7,6,4,3,2
23,1,1,1,3,6
24,6,6,5,3,4
25,2,1,3,6,6
26,4,6,3,6,3
27,6,1,2,2,4
28,4,3,2,2,2
29,5,4,7,3,3
30,6,5,6,4,5
31,7,3,1,5,1
32,4,2,4,6,5
33,2,7,6,6,1
34,4,2,6,1,7
35,4,5,5,3,1
36,2,4,4,7,5
37,4,5,4,4,1
38,1,3,6,2,7
39,6,3,1,1,4
40,7,6,3,6,1
41,5,5,3,6,5
