id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,1,7,2,3,4,2,1,6,5,3
1,7,1,7,6,4,6,3,5,5,1
2,7,3,3,4,5,3,2,6,2,1
3,7,6,1,3,1,6,5,5,4,1
4,2,5,6,3,7,3,2,1,3,6
5,7,1,4,5,7,4,6,2,3,7
6,5,1,4,2,5,6,4,3,3,7
7,4,5,1,3,5,6,5,1,2,7
8,2,6,6,4,5,2,3,2,7,5
9,1,3,1,6,1,2,7,5,3,2
10,7,1,4,1,4,2,5,5,1,5
11,5,6,5,1,3,7,5,1,1,4
12,4,6,7,7,5,3,4,1,5,3
13,2,6,6,3,2,3,7,3,6,6
14,6,4,1,1,4,2,5,2,2,7
15,6,3,3,5,7,6,7,5,7,5
16,2,5,7,1,2,3,1,2,3,2
17,5,2,5,4,6,4,7,3,6,5
18,7,1,2,6,6,5,1,2,7,4
19,3,5,2,3,4,2,7,2,4,2
20,6,5,4,6,2,6,7,1,4,6
21,1,4,4,6,6,3,2,6,1,4
22,5,1,5,2,7,3,1,1,6,6
23,7,5,1,6,2,6,1,5,3,7
24,7,3,2,3,6,5,2,2,1,2
25,2,3,2,5,4,4,2,1,7,7
26,7,5,1,7,5,6,1,7,1,4
27,4,5,4,5,6,6,6,2,1,1
28,4,7,7,6,5,1,1,7,6,7
29,7,6,6,7,3,3,7,5,4,6
30,2,5,1,3,4,7,4,4,3,2
31,4,1,1,2,2,3,7,7,6,5
32,6,5,7,2,4,5,7,5,2,6
33,1,6,7,3,6,6,4,5,1,2
34,4,6,2,3,4,6,5,3,3,5
35,2,3,3,6,5,3,1,6,1,1
36,1,7,5,5,2,2,6,4,7,1
37,5,1,5,1,6,6,3,2,5,4
38,6,4,7,6,7,6,5,6,5,7
