id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,7,5,7,2,3,4,5,1,7,6
1,5,5,3,5,3,6,4,5,6,7
2,4,2,2,5,2,3,7,2,2,7
3,4,2,2,5,5,7,2,2,5,1
4,6,6,4,4,1,7,4,5,4,7
5,5,7,3,6,3,2,7,1,3,5
6,1,1,2,7,4,3,2,6,3,3
7,5,7,5,3,1,6,6,4,5,3
8,2,7,5,1,3,6,6,4,6,7
9,4,1,7,1,7,7,6,6,1,7
10,7,3,5,2,5,6,3,6,4,6
11,2,1,4,5,2,6,3,1,5,5
12,3,3,4,1,7,7,5,6,4,7
13,4,3,1,2,7,4,6,7,2,4
14,4,6,4,3,3,5,5,3,2,5
15,3,7,5,3,3,7,3,4,4,7
16,7,4,7,2,2,5,4,7,4,5
17,4,1,5,4,5,7,6,6,7,7
18,7,3,1,7,1,5,3,3,1,3
19,2,5,6,1,1,6,2,3,7,3
20,2,3,4,7,7,3,1,6,2,7
21,3,5,2,3,2,5,5,7,5,5
22,4,7,5,2,2,3,1,4,5,7
23,1,4,3,1,3,6,1,1,5,5
24,7,1,7,7,3,3,5,6,5,3
25,4,7,7,6,7,3,3,5,3,1
26,4,7,7,4,7,2,5,2,1,4
27,2,2,2,2,4,4,7,2,1,2
28,4,6,6,6,1,4,1,6,2,3
29,3,1,1,2,7,1,5,2,5,4
