id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,7,1,3,1,3,7,7,3,5,6
1,2,1,3,3,4,6,5,3,3,7
2,3,6,4,7,5,1,2,1,4,2
3,1,2,1,5,5,2,6,1,3,1
4,1,4,6,3,6,5,7,3,1,3
5,5,2,5,1,5,6,5,6,4,6
6,2,4,4,6,1,3,6,6,7,5
7,5,6,5,7,4,5,7,5,2,7
8,3,1,6,1,7,7,4,1,1,7
9,5,7,1,2,7,6,3,3,2,1
10,6,3,6,6,5,7,4,2,5,4
11,2,2,3,1,4,6,2,4,1,4
12,1,3,5,3,7,5,3,2,2,2
13,2,1,5,1,2,1,4,4,1,6
14,6,3,5,2,6,2,6,5,1,3
15,3,3,1,1,7,3,7,7,2,5
16,2,7,5,7,3,2,3,7,1,7
17,6,3,2,1,4,6,2,1,2,4
18,3,4,5,5,5,2,2,6,7,5
19,6,4,1,6,6,3,4,7,2,1
20,7,3,7,4,2,2,6,5,4,2
21,4,5,3,7,5,3,3,3,5,6
22,7,6,7,3,2,3,4,5,4,4
23,1,3,6,6,2,4,2,6,7,4
24,1,1,7,2,5,4,1,6,2,7
25,6,2,2,7,7,6,4,7,5,4
26,2,4,7,5,7,2,3,7,6,7
27,3,6,4,4,2,3,6,6,6,7
