id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,2,1,4,5,6,3,1,7,3,2
1,3,1,6,1,2,4,1,1,5,5
2,6,6,4,7,6,3,1,1,2,4
3,7,6,6,3,5,2,6,5,1,3
4,1,7,6,6,2,5,4,5,4,2
5,3,5,7,6,7,7,6,4,6,5
6,5,3,6,5,6,2,3,2,7,7
7,3,2,4,4,7,3,5,1,3,3
8,4,5,1,4,2,1,6,1,6,6
9,4,3,4,7,2,1,2,2,4,3
10,6,6,1,7,6,1,3,3,3,2
11,3,5,4,4,1,4,7,4,7,4
12,4,6,7,5,1,4,2,7,4,2
13,2,7,1,4,6,6,1,1,2,7
14,5,2,4,3,7,1,6,1,7,2
15,7,4,7,6,2,7,6,6,4,7
16,5,4,3,6,4,7,1,7,3,6
17,6,2,6,5,7,4,2,1,3,2
18,5,4,7,5,1,7,5,7,5,5
19,4,4,6,5,1,1,5,2,4,2
20,7,1,4,3,3,5,6,3,7,1
21,3,2,6,5,5,7,6,4,6,2
22,1,7,2,2,1,2,6,1,6,1
23,6,6,5,7,3,1,1,1,2,4
24,4,4,5,3,6,7,7,5,3,6
25,3,4,7,6,2,3,6,3,1,6
26,1,2,7,2,6,3,4,4,3,4
27,5,1,3,6,6,6,4,5,1,4
28,1,3,4,4,1,2,4,6,3,2
29,1,6,5,1,5,1,3,3,1,3
30,7,6,6,5,3,6,6,5,7,7
31,5,7,2,4,5,1,6,3,2,7
32,5,7,2,4,5,1,5,5,6,6
33,7,1,2,2,2,1,7,1,7,7
34,5,1,5,2,6,3,2,5,5,2
35,4,3,7,6,1,5,7,4,6,1
36,7,3,5,5,2,2,4,1,3,1
37,3,3,6,4,7,6,6,4,5,6
38,7,2,2,4,4,3,2,4,2,3
39,2,1,7,4,3,1,3,5,6,7
40,7,1,2,3,7,4,7,1,1,5
41,6,2,6,4,5,3,2,2,3,3
42,4,2,5,7,4,4,1,5,5,5
43,6,3,2,3,1,6,4,3,2,4
44,6,6,5,1,3,2,4,5,4,1
45,5,2,3,6,2,7,4,6,6,5
46,3,6,6,4,4,7,5,5,7,4
