id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,3,1,5,3,6,2,4,4,1,6
1,3,4,5,6,2,6,2,2,4,5
2,5,5,5,7,2,2,4,3,5,2
3,2,2,4,7,4,7,1,5,6,2
4,4,5,6,7,6,1,3,2,3,1
5,7,3,5,4,6,3,6,5,2,2
6,2,7,4,7,2,2,2,1,4,7
7,2,5,3,6,3,2,5,1,4,4
8,7,3,3,5,6,7,2,1,1,6
9,4,4,7,4,5,2,3,4,6,5
10,7,6,1,1,4,7,1,2,1,6
11,6,5,6,5,4,3,5,7,5,3
12,4,5,7,7,6,7,4,1,7,3
13,4,4,1,5,2,2,6,3,6,1
14,1,4,2,6,7,5,5,2,4,1
15,6,4,5,7,1,3,5,2,1,7
16,7,3,4,6,1,3,6,4,7,3
17,5,5,4,7,6,7,7,3,4,7
18,1,4,4,5,6,1,5,3,4,3
19,5,6,7,3,1,7,3,4,2,3
20,7,1,5,4,7,7,3,3,4,3
21,4,7,5,1,6,1,1,7,4,4
22,3,6,3,1,3,6,6,1,1,3
23,1,5,2,3,1,2,3,2,4,4
24,3,6,3,6,4,2,6,6,1,5
25,6,5,2,2,3,5,4,6,5,2
26,5,5,5,2,7,2,6,7,3,7
27,4,7,2,5,2,3,5,6,7,5
28,4,4,1,7,7,7,3,5,5,5
29,4,6,2,3,6,3,2,1,3,6
30,1,2,3,1,1,4,5,4,3,1
31,7,4,7,4,6,7,5,7,2,2
32,2,7,4,5,5,6,2,1,1,5
33,7,6,5,7,5,3,3,4,1,2
34,1,2,3,5,1,6,6,3,4,1
35,5,4,1,3,7,3,4,4,5,1
36,2,2,6,2,4,6,4,2,7,7
37,3,7,5,6,3,7,1,3,1,3
38,1,5,4,6,5,1,5,7,5,1
39,2,4,3,7,4,3,5,6,5,5
40,3,1,5,3,1,5,5,3,1,1
41,5,2,6,3,1,7,1,1,1,6
