id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,2,1,1,2,1,7,6,5,4,4
1,5,1,1,7,4,5,3,2,4,4
2,6,6,2,7,3,7,2,4,5,5
3,5,4,3,5,6,4,6,5,4,4
4,1,1,4,2,7,6,3,6,2,4
5,6,7,1,4,2,1,6,7,4,7
6,2,4,2,2,6,7,7,4,1,5
7,7,3,6,7,5,4,5,5,4,3
8,3,5,6,3,7,4,3,2,4,5
9,5,3,4,3,1,2,6,5,4,4
10,1,5,1,6,7,7,6,3,7,7
11,1,1,3,6,6,2,6,3,1,7
12,5,4,2,6,3,6,4,2,5,3
13,5,5,6,3,4,1,3,4,5,5
14,5,3,5,6,6,6,3,1,4,6
15,2,3,5,4,6,5,2,5,4,7
16,5,7,1,4,7,6,1,1,2,6
17,5,5,5,2,1,6,7,3,3,4
18,1,3,6,1,5,6,6,4,2,3
19,4,4,2,4,3,5,5,1,1,3
20,3,7,5,3,5,4,4,4,4,4
21,7,3,2,6,2,2,4,2,5,2
22,6,4,3,3,6,1,5,3,6,7
23,7,7,5,1,6,5,4,4,3,4
24,7,1,3,2,6,7,2,5,4,2
25,1,4,5,2,4,5,1,3,7,1
26,1,5,6,6,4,5,1,3,3,2
27,6,7,6,5,4,5,2,6,5,3
28,5,5,1,6,4,1,5,2,1,6
29,6,6,2,5,1,4,6,3,1,2
30,2,2,4,1,6,6,2,3,3,4
31,4,2,6,2,2,7,7,3,7,1
32,3,4,2,3,5,2,5,3,3,3
33,5,4,6,1,2,5,6,1,5,5
34,3,3,1,6,7,3,6,5,1,1
35,4,5,6,1,5,4,2,3,1,3
36,7,4,5,3,4,2,1,5,6,1
