id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,2,7,2,6,5,5,5,5,7,6
1,7,2,6,6,3,4,1,1,7,5
2,7,6,3,4,1,7,1,7,1,3
3,2,7,4,2,1,3,4,3,2,6
4,6,2,1,2,1,4,7,4,4,7
5,7,3,5,4,2,2,6,7,3,7
6,6,2,4,1,1,5,3,4,4,5
7,7,1,5,4,2,2,7,3,1,5
8,4,1,3,1,7,7,1,3,1,2
9,1,4,1,2,3,6,5,5,5,5
10,1,4,2,1,3,4,5,3,3,7
11,7,2,3,5,7,2,1,4,1,3
12,7,1,4,1,6,4,6,1,3,6
13,6,7,5,7,6,1,5,3,1,1
14,7,4,4,6,6,2,5,3,3,6
15,3,3,4,6,2,5,4,4,2,2
16,1,7,2,7,7,5,2,1,7,4
17,3,3,1,5,1,7,7,2,6,3
18,7,3,3,7,1,7,5,6,7,3
19,2,7,7,3,7,4,7,4,1,7
20,1,6,6,6,7,7,4,7,5,1
21,6,1,3,7,5,4,4,2,4,1
