id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,5,4,7,3,1,5,3,1,5,6
1,1,4,3,7,6,1,4,7,5,4
2,6,1,6,2,4,2,2,1,3,2
3,3,5,3,2,2,7,6,1,5,2
4,5,6,5,4,6,5,4,4,3,1
5,7,2,2,1,4,4,1,7,6,3
6,4,6,4,1,4,1,2,3,4,5
7,2,7,6,1,5,7,5,6,4,1
8,2,3,3,3,4,2,7,2,1,1
9,1,3,1,7,4,6,2,7,3,4
10,4,2,2,7,2,3,2,5,3,7
11,2,6,6,5,2,6,7,2,6,3
12,3,7,6,7,4,7,3,6,1,4
13,1,4,3,1,1,3,7,4,6,1
14,3,4,5,3,4,2,3,5,1,4
15,4,3,7,4,6,7,1,4,2,5
16,7,1,5,5,3,5,3,7,7,6
17,1,5,3,4,1,3,3,2,6,7
18,2,2,7,3,7,1,3,2,4,3
19,3,5,5,7,5,5,4,3,5,2
20,4,6,2,1,5,5,5,7,3,5
21,2,1,5,7,5,2,5,1,6,7
22,4,6,2,3,6,1,1,5,7,5
23,7,2,1,1,3,6,5,6,4,7
24,3,4,4,2,6,3,5,1,4,1
25,7,4,2,6,3,3,1,7,4,3
26,5,2,1,5,4,6,5,2,6,7
27,2,4,2,2,7,1,4,3,1,6
28,3,7,4,3,7,6,1,4,4,4
29,2,4,4,2,3,1,1,7,5,3
30,3,5,6,5,1,3,7,2,2,4
31,4,7,6,4,3,1,7,7,2,4
32,3,7,2,6,5,3,5,7,3,5
33,1,1,3,3,6,6,1,7,4,1
34,5,1,3,1,1,2,6,4,6,3
35,6,7,6,4,4,2,1,3,4,6
36,5,4,2,7,6,3,1,4,1,5
37,1,6,3,4,7,2,4,5,7,1
38,6,4,7,6,2,7,1,1,4,2
39,6,7,7,5,2,7,1,1,7,2
40,4,3,6,1,2,5,2,4,5,2
41,7,7,5,5,4,5,1,4,5,1
42,4,6,7,4,2,3,6,6,1,6
