id0,id1
0,0
1,1
1,2
1,3
2,2
2,3
3,3
4,4
4,5
5,5
6,6
6,7
6,8
6,9
6,10
6,11
6,12
7,7
7,8
7,9
7,10
7,11
7,12
8,8
8,9
8,10
8,11
8,12
9,9
9,10
9,11
9,12
10,10
10,11
10,12
11,11
11,12
12,12
13,13
14,14
14,15
14,16
14,17
14,18
14,19
14,20
14,21
14,22
14,23
14,24
14,25
15,15
15,16
15,17
15,18
15,19
15,20
15,21
15,22
15,23
15,24
15,25
16,16
16,17
16,18
16,19
16,20
16,21
16,22
16,23
16,24
16,25
17,17
17,18
17,19
17,20
17,21
17,22
17,23
17,24
17,25
18,18
18,19
18,20
18,21
18,22
18,23
18,24
18,25
19,19
19,20
19,21
19,22
19,23
19,24
19,25
20,20
20,21
20,22
20,23
20,24
20,25
21,21
21,22
21,23
21,24
21,25
22,22
22,23
22,24
22,25
23,23
23,24
23,25
24,24
24,25
25,25
26,26
26,27
26,28
26,29
26,30
26,31
26,32
26,33
26,34
26,35
26,36
26,37
26,38
27,27
27,28
27,29
27,30
27,31
27,32
27,33
27,34
27,35
27,36
27,37
27,38
28,28
28,29
28,30
28,31
28,32
28,33
28,34
28,35
28,36
28,37
28,38
29,29
29,30
29,31
29,32
29,33
29,34
29,35
29,36
29,37
29,38
30,30
30,31
30,32
30,33
30,34
30,35
30,36
30,37
30,38
31,31
31,32
31,33
31,34
31,35
31,36
31,37
31,38
32,32
32,33
32,34
32,35
32,36
32,37
32,38
33,33
33,34
33,35
33,36
33,37
33,38
34,34
34,35
34,36
34,37
34,38
35,35
35,36
35,37
35,38
36,36
36,37
36,38
37,37
37,38
38,38
39,39
39,40
39,41
39,42
39,43
40,40
40,41
40,42
40,43
41,41
41,42
41,43
42,42
42,43
43,43
