id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,1,3,7,2,6,2,1,2,4,3
1,1,3,5,5,6,3,7,7,4,2
2,7,1,7,1,7,2,1,6,7,4
3,3,1,1,7,5,7,2,1,7,4
4,1,5,2,4,7,6,2,2,2,3
5,7,3,4,6,2,4,6,1,3,3
6,3,2,3,6,2,7,5,5,7,3
7,5,3,4,2,7,2,2,2,6,7
8,7,7,5,2,7,2,3,1,7,6
9,3,4,4,1,5,1,6,4,6,4
10,2,2,5,6,5,6,1,4,3,1
11,7,7,1,4,2,5,4,7,1,4
12,7,7,6,3,4,6,2,6,5,5
13,3,5,6,1,5,1,5,4,1,3
14,1,2,7,2,6,5,7,5,5,6
15,5,6,4,7,5,7,5,6,2,4
16,5,1,1,5,3,4,5,3,5,5
17,3,6,1,4,2,2,5,6,7,6
18,5,1,7,2,3,7,4,7,2,5
19,4,3,6,4,2,2,3,4,5,3
20,4,3,1,2,3,2,1,5,5,2
