id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,4,3,3,3,5,4,3,5,3,5
1,3,5,2,5,7,5,2,3,1,4
2,7,2,2,7,5,5,1,6,5,3
3,6,2,1,6,2,4,6,7,4,2
4,3,6,5,2,6,3,7,5,1,5
5,7,5,7,6,7,2,1,7,1,2
6,2,1,7,5,6,7,4,7,5,4
7,6,3,3,6,7,6,6,5,3,6
8,3,2,3,2,5,5,7,3,6,2
9,4,1,6,2,7,1,2,7,3,1
10,2,7,3,1,6,3,3,2,2,3
11,3,5,6,5,4,7,1,6,1,2
12,6,7,5,1,2,7,7,2,5,2
13,7,5,7,2,4,5,2,2,7,3
14,2,1,3,4,2,5,6,3,6,5
15,2,6,1,1,2,4,7,2,1,6
16,3,1,1,7,7,5,2,7,7,7
17,7,7,3,3,1,7,1,2,5,4
18,7,1,3,5,6,7,3,4,3,6
19,1,5,7,1,6,6,5,5,3,3
20,1,4,3,3,7,3,1,7,5,5
21,6,3,2,1,1,5,4,5,2,7
22,1,5,4,6,4,1,4,1,6,1
23,2,4,6,3,5,5,4,6,7,7
24,1,4,2,2,7,1,1,4,1,4
