id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,6,3,4,2,5,1,6,4,6,4
1,5,3,7,5,1,2,5,6,4,4
2,4,4,7,5,5,5,1,6,4,2
3,3,5,1,3,2,2,2,1,6,5
4,1,1,1,3,2,4,3,6,3,7
5,6,3,7,3,3,1,5,3,2,3
6,5,7,6,3,2,5,7,5,3,4
7,1,3,6,3,1,5,4,7,4,3
8,6,5,7,3,1,4,2,1,1,5
9,5,3,4,5,3,4,3,6,3,6
10,2,5,4,2,3,1,6,6,4,7
11,4,2,5,2,2,6,1,7,6,3
12,2,3,5,2,3,2,7,5,7,6
13,6,4,2,1,5,4,2,2,2,6
14,3,1,3,2,4,2,1,1,1,7
15,4,7,2,6,6,7,7,3,4,3
16,7,4,2,7,1,6,1,1,5,2
17,1,7,7,6,6,6,7,4,3,3
18,6,6,3,6,2,6,1,5,4,4
19,3,6,4,7,7,1,2,7,6,1
20,6,3,7,2,1,4,3,5,7,7
21,1,2,1,7,5,4,7,3,5,7
22,2,4,1,3,5,7,4,2,7,5
23,5,5,4,2,1,1,2,1,4,3
24,7,5,2,1,1,1,2,4,3,5
25,1,5,7,4,7,2,6,3,1,7
