id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,1,5,4,1,5,7,7,3,7,3
1,2,1,6,1,7,1,4,5,4,1
2,1,5,7,3,4,1,3,1,2,2
3,3,6,3,7,6,2,2,6,6,7
4,1,4,7,1,2,2,6,5,7,7
5,5,5,5,7,2,7,5,2,7,4
6,7,5,1,4,1,6,7,7,2,7
7,7,5,2,4,1,6,6,1,6,1
8,4,2,7,2,6,7,6,6,2,3
9,3,4,5,1,5,5,2,2,6,4
10,6,2,6,2,2,6,3,1,4,6
11,4,1,4,2,7,5,2,2,6,2
12,2,5,6,3,6,3,1,2,3,5
13,2,2,5,2,6,6,4,1,2,4
14,6,2,5,4,4,1,2,6,4,5
15,2,5,4,6,1,4,3,6,6,2
16,6,6,6,5,2,1,3,5,5,5
17,4,4,6,5,6,2,1,7,5,6
18,4,2,4,2,4,6,1,2,4,5
19,4,2,6,2,3,3,4,4,4,7
20,4,7,6,4,2,7,6,5,2,3
21,3,2,1,7,2,4,2,6,1,2
22,4,7,7,7,1,3,6,2,7,1
23,1,3,4,4,2,3,5,3,4,4
24,1,6,5,3,2,3,3,5,6,4
25,6,7,7,3,1,5,5,1,6,7
26,4,7,2,6,2,3,4,6,3,7
27,7,7,5,6,2,2,7,1,3,1
28,2,7,3,3,5,7,4,6,5,1
29,5,1,4,7,2,3,6,2,2,6
30,4,4,4,5,6,3,4,6,6,3
31,2,6,2,4,4,1,1,7,1,1
32,6,7,7,6,6,5,7,4,7,1
33,3,3,7,1,2,1,5,7,1,6
34,7,5,4,2,5,7,2,1,3,1
35,4,1,5,2,6,3,4,5,5,1
36,3,3,2,4,3,1,6,6,5,6
37,7,5,1,7,6,7,6,1,7,2
38,5,1,7,7,1,2,7,6,2,6
39,5,5,5,6,7,4,2,1,4,5
40,3,4,5,5,1,2,7,2,3,2
