id,p0,p1,p2,p3,p4
0,5,5,4,4,5
1,4,2,2,2,5
2,1,3,4,7,2
3,6,7,3,1,6
4,1,2,4,4,2
5,3,3,1,6,5
6,6,3,2,3,4
7,5,6,3,3,3
8,1,4,7,6,2
9,1,1,3,6,6
10,3,4,1,2,7
11,6,1,5,1,4
12,3,4,1,6,7
13,2,2,3,7,6
14,3,3,2,4,1
15,5,2,7,1,2
16,6,6,6,2,2
17,4,6,2,5,7
18,7,2,3,6,1
19,6,6,4,1,2
20,4,4,7,2,7
21,7,3,7,1,4
22,1,2,2,7,7
23,7,3,4,5,3
24,2,6,2,6,3
25,7,1,3,2,5
26,3,3,2,5,7
27,5,4,6,3,7
28,7,7,1,3,3
29,5,7,1,1,5
30,5,4,4,3,4
31,6,1,6,3,5
32,1,5,2,7,4
33,7,7,3,1,3
34,6,2,4,5,3
35,4,4,1,5,6
36,4,3,5,5,5
37,4,2,7,2,2
38,6,3,3,6,1
39,3,7,6,4,6
40,7,2,6,5,2
41,2,6,1,6,6
42,6,4,7,3,2
43,6,1,7,5,5
44,2,4,7,6,4
45,7,4,5,4,6
46,2,5,3,5,4
47,7,5,4,4,7
48,6,6,7,3,3
49,3,6,5,1,5
