id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,3,2,6,5,6,1,4,1,4,6
1,5,2,7,2,2,1,4,6,2,2
2,2,1,4,4,4,4,3,1,4,6
3,6,2,4,1,7,1,1,4,1,7
4,7,7,5,7,4,1,2,6,5,2
5,4,2,1,5,4,5,4,4,6,5
6,5,5,4,7,2,5,7,6,5,3
7,3,4,5,1,1,5,4,4,2,3
8,4,7,6,7,1,6,2,5,6,2
9,4,3,4,5,7,2,3,1,2,5
10,4,4,2,2,2,2,7,1,2,7
11,1,6,5,5,4,4,7,4,4,1
12,3,6,2,2,3,1,7,6,2,4
13,1,6,3,6,4,3,4,4,5,2
14,7,2,2,2,7,5,5,4,3,7
15,1,3,1,1,1,7,3,4,1,6
16,4,3,7,6,2,4,4,5,2,4
17,5,3,1,6,5,6,3,3,1,4
18,1,1,1,3,1,6,2,1,7,6
19,6,3,4,7,3,5,2,3,7,5
20,6,2,3,6,7,3,5,3,6,4
21,7,7,2,3,3,2,1,6,3,6
22,2,5,6,3,2,3,4,7,2,3
23,3,4,6,4,5,5,4,1,7,3
24,3,2,6,7,7,6,6,4,5,3
25,1,7,6,7,1,5,3,2,4,4
26,3,6,5,3,7,5,4,7,1,3
27,3,2,3,7,1,7,1,7,4,2
28,7,6,7,5,1,2,3,6,6,2
29,7,1,7,4,2,3,4,3,2,7
30,7,5,3,7,1,7,7,1,1,1
31,1,6,2,6,5,1,4,2,1,7
32,1,2,3,7,2,1,7,1,4,3
33,5,6,1,5,4,5,1,1,3,1
