id,p0,p1,p2,p3,p4
0,5,4,4,1,1
1,5,5,2,2,2
2,2,2,1,3,6
3,2,6,2,3,4
4,4,2,7,3,1
5,2,5,2,5,4
6,1,4,5,5,5
7,1,4,6,7,5
8,6,6,6,1,5
9,2,2,3,5,3
10,7,5,2,3,2
11,4,3,4,5,3
12,6,3,7,3,6
13,7,7,5,5,1
14,3,1,3,1,6
15,1,7,2,2,3
16,7,6,5,4,7
17,3,6,4,3,4
18,7,7,5,1,1
19,3,7,6,6,1
20,1,2,3,4,6
21,7,6,6,2,5
22,2,4,2,4,2
23,3,7,5,4,3
24,5,5,6,4,6
25,3,4,2,4,5
26,5,5,4,7,7
27,1,3,3,1,6
28,5,7,2,1,1
29,4,2,1,1,7
30,2,7,3,1,2
31,1,1,7,2,1
32,7,6,3,5,2
33,4,1,2,2,7
34,2,7,5,4,3
35,7,2,1,6,7
36,5,2,4,6,6
37,2,3,4,4,1
38,6,4,5,7,3
39,4,6,4,4,7
40,4,2,5,1,2
41,7,2,4,3,1
42,3,1,1,6,7
43,4,6,6,7,7
44,3,2,3,2,4
45,6,2,5,4,5
46,3,5,4,2,5
47,5,7,2,2,2
48,3,4,4,2,3
