id,p0,p1,p2,p3,p4
0,4,5,7,5,4
1,4,6,7,5,5
2,6,1,1,7,4
3,2,6,3,4,7
4,7,5,6,3,6
5,6,1,6,1,6
6,6,3,4,5,1
7,1,6,4,7,4
8,3,2,2,6,3
9,3,6,6,3,2
10,6,7,4,7,5
11,7,2,2,7,6
12,5,3,7,7,4
13,3,1,5,4,6
14,2,4,4,7,5
15,5,6,6,4,5
16,5,4,3,7,4
17,7,5,1,7,4
18,1,1,7,6,4
19,3,2,2,1,3
20,1,1,6,4,7
21,3,2,7,2,7
22,5,3,1,2,6
23,4,6,7,5,1
24,3,7,1,4,3
25,5,4,2,3,1
26,6,3,7,2,4
27,1,2,1,3,7
28,7,7,5,4,3
29,7,3,1,2,1
30,4,5,1,4,3
31,2,5,6,4,4
32,3,7,6,3,1
33,7,3,2,7,1
34,7,7,5,4,4
35,1,4,6,4,4
36,3,1,2,1,1
37,7,4,5,5,1
38,7,7,3,5,1
39,3,6,5,1,4
40,2,1,4,1,7
41,6,4,2,1,1
42,5,5,3,4,5
