id0,id1
0,0
0,1
1,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
3,3
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,11
3,12
3,13
3,14
4,4
4,5
4,6
4,7
4,8
4,9
4,10
4,11
4,12
4,13
4,14
5,5
5,6
5,7
5,8
5,9
5,10
5,11
5,12
5,13
5,14
6,6
6,7
6,8
6,9
6,10
6,11
6,12
6,13
6,14
7,7
7,8
7,9
7,10
7,11
7,12
7,13
7,14
8,8
8,9
8,10
8,11
8,12
8,13
8,14
9,9
9,10
9,11
9,12
9,13
9,14
10,10
10,11
10,12
10,13
10,14
11,11
11,12
11,13
11,14
12,12
12,13
12,14
13,13
13,14
14,14
15,15
15,16
16,16
17,17
17,18
17,19
18,18
18,19
19,19
20,20
20,21
20,22
20,23
20,24
20,25
20,26
20,27
20,28
20,29
20,30
21,21
21,22
21,23
21,24
21,25
21,26
21,27
21,28
21,29
21,30
22,22
22,23
22,24
22,25
22,26
22,27
22,28
22,29
22,30
23,23
23,24
23,25
23,26
23,27
23,28
23,29
23,30
24,24
24,25
24,26
24,27
24,28
24,29
24,30
25,25
25,26
25,27
25,28
25,29
25,30
26,26
26,27
26,28
26,29
26,30
27,27
27,28
27,29
27,30
28,28
28,29
28,30
29,29
29,30
30,30
31,31
31,32
32,32
33,33
34,34
34,35
34,36
34,37
34,38
34,39
34,40
35,35
35,36
35,37
35,38
35,39
35,40
36,36
36,37
36,38
36,39
36,40
37,37
37,38
37,39
37,40
38,38
38,39
38,40
39,39
39,40
40,40
