id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,7,1,1,4,2,3,4,4,6,2
1,2,5,3,5,1,6,1,5,1,7
2,1,6,2,4,4,6,1,2,4,1
3,7,5,3,4,7,4,2,4,2,3
4,7,7,1,7,2,5,3,5,5,2
5,4,3,5,7,7,1,2,4,3,4
6,6,6,1,4,2,6,3,5,7,7
7,6,5,4,7,4,3,2,4,5,2
8,4,7,2,6,1,2,4,3,7,7
9,2,3,4,5,6,2,3,4,3,3
10,5,5,7,5,1,2,6,4,3,6
11,7,4,1,5,4,5,5,4,3,5
12,7,7,4,4,2,7,5,5,3,6
13,5,4,5,6,5,4,1,6,2,1
14,3,2,7,3,3,3,5,7,1,7
15,5,3,5,3,6,2,6,7,3,2
16,3,7,2,7,6,3,4,1,1,2
17,5,6,5,6,1,6,1,7,4,7
18,7,6,5,4,7,1,3,4,2,1
19,2,5,5,6,5,7,4,5,3,5
20,3,2,2,1,6,3,7,2,4,5
21,3,6,7,5,7,6,6,5,6,7
22,7,5,7,6,4,6,2,2,2,6
23,5,7,2,6,6,4,5,1,1,6
24,3,3,1,4,3,5,7,3,6,2
25,2,7,2,1,6,6,2,4,3,4
26,6,5,6,5,7,7,1,5,7,4
27,4,1,4,7,3,1,2,1,4,1
28,7,3,1,2,6,4,1,6,2,1
29,5,3,2,7,2,7,2,7,6,7
30,1,6,4,5,2,6,6,6,4,6
31,5,4,4,7,4,6,3,2,3,2
32,2,4,4,4,7,6,6,5,3,7
33,2,4,2,6,2,7,5,2,7,3
34,2,4,3,3,1,3,2,3,3,1
35,4,4,2,6,3,1,6,1,1,7
36,4,6,3,2,4,1,2,4,5,2
37,6,1,7,7,6,4,5,1,4,6
38,4,2,2,4,5,3,1,7,6,6
39,3,2,4,7,2,7,5,6,1,7
40,1,7,7,1,6,4,2,2,1,7
41,1,1,6,2,6,4,4,3,2,2
42,5,3,7,2,4,7,7,7,5,5
43,2,3,3,3,1,5,7,1,7,7
44,3,2,4,5,5,6,5,5,7,5
45,5,5,6,4,4,5,2,1,3,2
46,6,6,3,4,5,7,7,5,7,1
47,4,5,5,3,2,7,5,2,1,2
48,5,5,7,1,1,2,3,3,6,2
