id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,2,2,1,3,3,4,5,4,3,2
1,5,7,3,3,1,5,7,3,2,4
2,7,6,3,5,2,2,2,7,2,4
3,4,1,5,2,2,3,4,5,4,4
4,4,7,4,6,3,3,1,2,1,3
5,4,6,2,6,4,7,2,1,1,5
6,1,3,2,1,1,2,7,5,5,4
7,3,1,7,7,5,5,1,3,2,1
8,1,6,1,1,7,5,5,2,6,5
9,4,3,7,7,1,7,7,3,7,6
10,2,5,4,3,2,7,5,7,5,4
11,1,2,7,4,2,6,2,6,3,7
12,7,6,4,5,4,2,7,5,4,3
13,6,1,4,7,7,7,5,3,5,4
14,2,6,3,3,1,2,5,3,5,5
15,2,5,2,5,7,6,1,7,4,2
16,5,3,2,1,1,5,6,1,3,1
17,1,2,3,2,6,6,6,2,1,7
18,5,7,3,6,4,4,7,7,3,6
19,4,6,2,2,4,7,3,5,3,1
20,5,3,7,1,2,4,1,7,7,7
21,3,5,7,7,2,2,3,2,6,7
22,2,6,1,1,6,3,6,2,6,4
23,2,5,2,4,2,4,6,1,3,3
24,1,7,1,6,5,3,7,5,1,7
25,2,4,2,7,3,2,7,2,4,2
26,4,2,2,3,3,1,4,2,4,6
27,7,3,5,5,2,4,1,5,4,3
28,2,4,2,4,5,7,3,7,7,7
29,7,1,1,1,1,4,7,3,1,4
30,2,2,3,4,7,3,6,4,6,7
31,1,5,2,4,2,5,4,7,1,3
32,1,3,1,1,5,6,4,7,4,5
33,6,7,6,6,7,4,5,5,5,4
34,3,7,3,1,5,2,2,2,1,7
35,2,1,4,7,4,1,5,5,7,4
36,4,1,4,5,6,6,6,5,2,7
37,6,1,3,3,5,1,2,4,1,1
38,7,5,3,5,2,5,3,5,7,5
39,4,1,3,2,2,2,7,2,3,4
40,5,6,5,1,4,7,1,3,5,2
41,4,3,7,1,1,6,6,6,6,5
42,6,3,3,6,6,6,6,5,4,4
43,7,7,1,7,4,7,7,1,7,5
