id,p0,p1,p2,p3,p4
0,2,3,5,1,4
1,6,6,3,3,2
2,5,7,2,4,6
3,2,7,3,3,7
4,5,6,7,2,2
5,5,7,7,3,5
6,5,1,1,5,1
7,6,6,3,7,4
8,1,4,7,6,6
9,5,3,5,6,2
10,3,3,5,4,2
11,4,4,2,1,7
12,3,1,2,1,6
13,3,5,3,5,2
14,2,7,7,1,2
15,2,6,5,6,6
16,1,2,3,6,1
17,3,1,1,7,1
18,4,2,5,1,6
19,6,3,3,5,1
20,6,5,6,3,3
21,2,4,2,3,5
22,2,3,4,4,4
23,1,2,2,5,2
24,4,6,3,1,1
25,5,2,3,1,7
26,2,1,7,5,7
27,5,7,5,3,7
28,5,3,3,1,4
29,7,1,4,5,5
30,7,4,5,5,5
31,3,1,2,5,7
32,5,2,1,3,2
33,5,3,7,3,3
34,3,7,3,1,5
35,3,4,5,1,3
36,3,4,3,7,5
37,7,5,2,7,1
