id,p0,p1,p2,p3,p4
0,2,4,7,1,2
1,2,3,7,1,5
2,1,7,6,3,7
3,7,3,5,2,1
4,4,2,6,6,5
5,2,5,4,5,6
6,2,4,6,5,6
7,1,1,6,4,7
8,5,4,4,3,4
9,4,2,5,3,5
10,1,1,1,5,4
11,2,7,4,3,3
12,2,3,2,3,4
13,3,1,6,1,2
14,7,3,7,3,3
15,1,4,6,7,6
16,1,3,7,6,7
17,1,1,7,3,6
18,7,3,3,2,1
19,3,7,3,3,4
20,4,4,4,7,7
21,5,6,4,7,2
22,7,6,2,4,1
23,5,3,4,5,3
24,6,3,2,5,6
25,3,2,3,4,7
26,6,5,5,1,2
27,2,3,3,6,1
28,4,6,1,7,2
29,6,1,5,6,1
30,7,2,4,4,2
31,3,5,5,6,7
32,3,7,7,1,4
33,5,6,4,6,1
34,2,5,6,2,4
35,1,6,4,2,3
36,3,3,1,2,7
37,3,2,3,7,7
38,7,7,3,4,7
39,6,1,3,4,7
40,5,1,2,5,1
41,5,2,7,1,7
42,2,7,4,5,2
43,1,5,1,4,4
44,2,7,5,1,2
45,7,6,5,5,2
46,1,5,5,4,4
