id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,7,7,1,2,1,4,6,3,1,7
1,6,2,2,3,2,3,4,3,4,5
2,5,4,5,6,7,1,4,2,7,5
3,5,5,5,3,5,7,6,5,5,4
4,4,3,3,4,6,6,6,6,7,6
5,1,6,4,7,7,5,2,3,6,3
6,4,5,7,7,7,3,1,7,4,7
7,2,1,1,7,2,3,6,5,7,6
8,7,2,5,7,5,7,1,5,5,4
9,7,2,1,4,5,4,1,4,6,7
10,5,3,3,1,4,3,4,5,2,1
11,2,5,3,6,1,1,7,5,2,2
12,4,7,2,3,5,5,4,1,7,6
13,5,2,3,2,4,5,3,5,4,3
14,6,7,3,1,5,3,1,2,7,7
15,5,7,3,4,7,2,7,4,3,3
16,6,7,6,2,7,4,3,1,7,7
17,1,7,3,7,3,6,3,6,3,1
18,2,2,1,7,7,6,5,7,2,1
19,3,3,2,7,6,1,7,2,3,3
20,1,2,2,1,6,2,3,7,4,3
21,3,7,1,2,1,5,6,7,7,5
22,2,1,2,1,3,3,3,5,2,7
23,3,5,6,7,4,7,2,7,7,7
24,1,7,5,3,3,1,4,6,3,5
25,1,7,5,4,3,6,2,2,1,2
26,4,3,3,5,5,2,4,2,1,5
27,1,5,3,2,6,6,1,6,6,4
28,2,1,7,5,1,2,1,7,2,5
29,6,2,4,7,1,1,3,4,6,1
30,3,3,7,4,5,5,6,5,6,6
31,3,6,5,7,4,4,6,4,3,3
32,7,3,5,7,6,5,3,6,1,1
33,1,6,5,5,7,4,1,7,4,7
34,3,3,1,5,4,5,1,6,6,4
35,1,2,3,1,1,6,6,2,5,2
