id,p0,p1,p2,p3,p4
0,1,6,2,3,2
1,4,6,7,1,1
2,7,4,6,3,3
3,1,5,1,7,4
4,1,7,7,3,3
5,1,2,7,7,5
6,7,1,4,6,3
7,2,5,5,5,7
8,4,4,5,1,2
9,5,5,7,1,2
10,1,2,4,7,5
11,5,5,4,1,6
12,1,1,7,3,6
13,3,5,2,5,2
14,5,1,1,6,1
15,3,3,7,1,7
16,6,2,6,1,6
17,7,7,6,4,5
18,1,7,2,5,4
19,2,5,3,6,2
20,4,3,6,5,6
21,5,3,1,6,1
22,7,4,1,5,3
23,3,3,5,7,2
24,4,7,4,5,5
25,6,2,5,1,3
26,6,5,1,2,6
27,4,6,1,2,1
28,3,7,4,3,5
29,6,3,4,3,2
30,1,1,1,7,7
31,2,7,7,6,2
32,6,4,3,5,4
33,6,5,7,1,4
34,1,1,2,1,1
35,1,4,3,6,6
36,5,3,4,4,4
37,2,1,1,7,2
38,2,3,7,2,4
39,3,2,4,2,1
40,5,5,6,2,6
41,7,7,5,1,3
42,1,4,2,7,6
43,7,6,5,2,4
44,4,5,6,2,6
