id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,5,5,2,3,4,5,3,1,7,6
1,3,4,3,1,6,7,7,3,7,6
2,1,6,6,4,6,3,4,3,6,1
3,7,4,6,5,3,5,4,7,3,4
4,1,1,6,1,5,6,3,6,3,2
5,7,5,2,2,7,6,1,1,2,6
6,5,3,4,3,2,4,5,3,5,2
7,1,6,2,6,6,2,5,7,2,7
8,6,4,2,1,2,4,5,4,7,3
9,1,5,4,7,7,5,5,4,6,2
10,6,4,5,4,1,5,1,3,3,2
11,3,1,5,6,3,1,1,2,3,4
12,7,1,3,1,7,4,4,2,7,6
13,7,7,7,7,1,2,3,2,6,7
14,1,5,2,4,2,2,4,5,4,2
15,5,3,4,6,5,7,1,1,1,5
16,1,3,2,1,6,4,3,7,5,7
17,6,6,6,5,4,1,4,1,4,3
18,6,7,5,5,6,3,2,3,4,4
19,6,3,3,6,6,5,6,2,1,1
20,5,2,2,6,4,7,1,3,3,5
21,7,5,7,7,1,5,2,5,5,6
22,4,1,4,4,5,3,6,2,1,2
