id,p0,p1,p2,p3,p4
0,2,4,4,3,6
1,5,1,7,5,4
2,2,2,2,4,2
3,7,2,6,7,3
4,1,4,2,1,6
5,5,5,2,7,2
6,3,6,5,6,4
7,1,7,7,2,4
8,3,7,6,1,1
9,4,1,2,7,5
10,5,5,6,5,5
11,7,3,1,2,1
12,7,7,1,6,4
13,7,3,5,2,3
14,6,5,3,5,2
15,1,2,7,6,3
16,3,1,1,6,3
17,3,1,4,7,7
18,7,2,2,3,2
19,2,2,2,1,5
20,3,3,1,2,6
21,6,6,3,4,1
22,7,7,4,5,4
23,7,7,1,6,1
24,5,5,6,4,2
25,7,1,2,3,1
26,4,1,6,2,7
27,1,5,1,5,1
28,4,4,5,2,2
29,1,4,4,4,4
30,4,2,7,1,7
31,3,1,6,5,1
32,6,2,5,6,2
33,3,7,7,2,5
34,2,6,1,1,1
35,7,7,3,1,1
36,2,2,4,1,3
37,2,3,6,7,7
38,3,6,1,3,7
39,4,7,3,2,2
40,3,7,1,2,5
41,6,4,4,3,1
42,1,5,3,5,4
43,5,4,5,6,2
44,3,6,1,2,2
45,3,1,5,4,1
46,1,3,2,3,5
47,6,2,6,5,5
