id0,id1
0,0
0,1
0,2
1,1
1,2
2,2
3,3
3,4
3,5
4,4
4,5
5,5
6,6
6,7
6,8
7,7
7,8
8,8
9,9
10,10
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
10,20
10,21
10,22
10,23
10,24
10,25
11,11
11,12
11,13
11,14
11,15
11,16
11,17
11,18
11,19
11,20
11,21
11,22
11,23
11,24
11,25
12,12
12,13
12,14
12,15
12,16
12,17
12,18
12,19
12,20
12,21
12,22
12,23
12,24
12,25
13,13
13,14
13,15
13,16
13,17
13,18
13,19
13,20
13,21
13,22
13,23
13,24
13,25
14,14
14,15
14,16
14,17
14,18
14,19
14,20
14,21
14,22
14,23
14,24
14,25
15,15
15,16
15,17
15,18
15,19
15,20
15,21
15,22
15,23
15,24
15,25
16,16
16,17
16,18
16,19
16,20
16,21
16,22
16,23
16,24
16,25
17,17
17,18
17,19
17,20
17,21
17,22
17,23
17,24
17,25
18,18
18,19
18,20
18,21
18,22
18,23
18,24
18,25
19,19
19,20
19,21
19,22
19,23
19,24
19,25
20,20
20,21
20,22
20,23
20,24
20,25
21,21
21,22
21,23
21,24
21,25
22,22
22,23
22,24
22,25
23,23
23,24
23,25
24,24
24,25
25,25
26,26
26,27
26,28
26,29
27,27
27,28
27,29
28,28
28,29
29,29
30,30
31,31
