id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,5,3,3,3,1,7,5,6,1,3
1,7,4,7,5,6,7,2,2,3,6
2,3,3,3,3,7,4,7,4,5,1
3,1,2,7,5,6,2,1,2,4,6
4,4,4,5,2,5,4,7,6,3,7
5,3,2,4,2,4,3,4,7,7,3
6,4,7,6,2,2,6,1,7,2,1
7,7,5,2,7,4,1,5,1,4,7
8,3,4,4,4,4,7,5,5,7,1
9,1,7,3,6,2,4,5,7,2,6
10,5,3,4,6,4,1,5,2,5,3
11,3,2,6,4,6,5,4,4,3,1
12,6,3,2,3,3,2,3,6,3,4
13,2,4,2,6,6,4,1,4,1,5
14,2,1,1,5,6,7,2,4,1,6
15,5,1,7,5,3,4,7,5,1,4
16,1,1,7,5,2,4,5,2,5,1
17,5,6,7,5,6,4,2,7,2,2
18,7,5,1,3,7,1,3,7,3,4
19,7,3,6,5,3,2,3,7,4,6
20,3,5,6,5,3,7,1,4,7,7
21,4,2,4,7,4,2,6,5,1,4
22,5,5,1,7,5,1,1,7,3,4
23,5,7,3,4,1,5,2,1,3,6
24,5,1,7,6,2,3,5,7,3,3
25,7,6,2,1,4,6,7,5,2,5
26,3,4,4,2,1,3,5,3,4,6
27,4,4,7,5,4,5,3,2,2,4
28,7,1,7,7,3,5,2,4,3,2
29,7,2,7,4,7,2,2,4,1,5
30,2,3,6,5,2,2,6,7,6,5
